Number,Hemisphere,Stage,Relative mean local field potential,Increase or decrease in sleep,Relative depth %,Relative standard deviation %
6,right,light,14.0,decrease,0.702329178271058%,11.5803026093887%
6,right,deep,5.0,increase,-0.025466884878568154%,14.662224115494658%
6,right,light,7.0,decrease,6.898370387641256%,15.723253700821962%
6,right,rem,2.0,increase,-15.20021787638657%,20.203076068994775%
6,right,light,3.0,increase,-8.853990322302682%,13.092137476369198%
6,right,rem,5.0,decrease,14.60251492782556%,11.565422816815163%
6,right,light,9.0,increase,-9.87171931295026%,18.716508647514306%
6,right,light,11.0,increase,-11.699904846932643%,18.323946756188825%
6,right,rem,2.0,decrease,0.18440236212781766%,10.10060023772843%
6,right,light,4.0,decrease,12.777152677713149%,9.622020036598766%
6,right,deep,5.0,increase,-1.6536861435079833%,11.570920762867136%
6,right,rem,2.0,decrease,7.2849179908429695%,10.87753432611041%
6,right,light,8.0,increase,-2.4108422919526364%,6.372765670114246%
6,right,deep,2.0,increase,-7.685209484071939%,10.100247002517154%
6,right,light,12.0,increase,-1.988582957849045%,9.854691417217047%
7,left,light,7.0,decrease,99.96194820653267%,8.46576163693172%
7,left,light,3.0,decrease,7.320046439628475%,7.634048704565371%
7,left,rem,2.0,increase,-0.17371146525621436%,0.6989523372519415%
7,left,light,5.0,increase,-1909.8147718723108%,220.86683600799398%
7,left,rem,2.0,increase,-463.9590785857063%,124.12260217341455%
7,left,light,9.0,increase,-581.3091612309427%,299.9791292117701%
7,left,rem,2.0,increase,-506.1794613923343%,108.85524435323823%
7,left,light,14.0,decrease,69.99600200187808%,10.801973276621306%
7,left,rem,2.0,increase,-456.50360903425593%,123.4088013920899%
7,left,restless,4.0,decrease,2.849472395054983%,4.849084227568127%
7,left,light,24.0,decrease,100.27521449606598%,158.29980168356602%
7,left,light,3.0,increase,-46.88840397180136%,58.53223334808706%
7,left,light,23.0,increase,-8.875156555705981%,201.72901611519114%
7,left,rem,3.0,increase,-23.346623559114843%,37.68348454455009%
7,left,light,5.0,decrease,39.72786021864417%,131.02843558463698%
7,left,light,6.0,increase,-385.8851825658257%,217.36151650863903%
7,left,rem,8.0,decrease,2.264093293269525%,204.05515246682674%
7,left,light,19.0,increase,-45.97643356733008%,282.35964333803173%
7,left,rem,2.0,decrease,26.983700097316987%,112.90187275494148%
7,left,deep,3.0,increase,-88.92851317842937%,31.410950875301886%
7,left,light,14.0,decrease,100.03277388772638%,235.85249803540685%
7,left,deep,9.0,increase,-6.672659545716261%,11.931560806608973%
7,left,light,2.0,decrease,2.8710156773837303%,1.7604318203814462%
7,left,rem,3.0,increase,-3.761397049372888%,16.545707646057977%
7,left,light,5.0,decrease,79.10930915225983%,201.31949396919288%
7,left,rem,2.0,increase,-328.2220909936899%,109.72907993547192%
7,left,light,3.0,decrease,3.440807957015557%,11.543632129046637%
7,left,rem,8.0,decrease,23.469979660917385%,34.09978191356637%
7,right,light,7.0,decrease,99.97430739608353%,29.30124363826185%
7,right,light,3.0,decrease,0.5818994959002456%,12.259972445735185%
7,right,rem,2.0,increase,-14.469282044689363%,4.29733402931051%
7,right,light,5.0,increase,-2376.278952434604%,223.5887179000135%
7,right,rem,2.0,increase,-512.3955047127699%,127.28972182810769%
7,right,light,9.0,increase,-580.7218661282561%,299.9304148223247%
7,right,rem,2.0,increase,-91.98442025367022%,25.448024897188642%
7,right,light,14.0,decrease,49.156485577555124%,23.42900811711712%
7,right,rem,2.0,increase,-414.21914722767366%,105.94447343305762%
7,right,restless,4.0,decrease,3.3568167555027646%,14.623755838059685%
7,right,light,24.0,decrease,100.30709455532241%,45.74865293060139%
7,right,light,3.0,increase,-20.71925516220902%,15.100104103008036%
7,right,light,23.0,increase,-22.310823358930293%,479.47253279023%
7,right,rem,3.0,decrease,102.62892601050811%,16.780367110831264%
7,right,light,5.0,increase,-2375.8312932046947%,223.59043831723525%
7,right,light,6.0,decrease,99.50926653746632%,207.45513650103905%
7,right,rem,8.0,decrease,33.60664174951811%,282.7418601553575%
7,right,light,19.0,increase,-16772.306091644587%,435.80283216170585%
7,right,rem,2.0,decrease,101.74441909618442%,5.809700049451093%
7,right,deep,3.0,increase,-201.16794143426233%,32.76642893745305%
7,right,light,14.0,increase,-137.24401850361397%,254.15474536628818%
7,right,deep,9.0,increase,-17.10469813064926%,25.9589183929773%
7,right,light,2.0,decrease,0.9236227202234597%,5.349501095634128%
7,right,rem,3.0,decrease,46.08151990439935%,83.22326989679388%
7,right,light,5.0,decrease,7.390556867597462%,8.391664635760124%
7,right,rem,2.0,increase,-24.34056649171302%,26.401241521309665%
7,right,light,3.0,decrease,0.9156250180799947%,0.5115457233387588%
7,right,rem,8.0,increase,-1521.8987051901947%,282.8028803655292%
8,left,light,3.0,decrease,42.68976988467968%,4.8762651061220605%
8,left,light,2.0,increase,-8.19558685966127%,0.939330041428624%
8,left,rem,4.0,increase,-9.785354580440004%,13.278127085980367%
8,left,light,19.0,decrease,20.636437050167906%,69.12464146314018%
8,left,rem,3.0,decrease,20.75879414497762%,22.802244158201866%
8,left,light,15.0,increase,-66.99346228424606%,47.24452265121963%
8,left,deep,5.0,increase,-5.57544992335001%,14.223926028392073%
8,left,rem,3.0,increase,-22.64225302836714%,14.669199108118663%
8,left,light,7.0,decrease,18.391256549525835%,55.62454547624495%
8,left,rem,8.0,increase,-50.04090446304499%,12.295670624302598%
8,left,light,7.0,decrease,27.510966461455922%,31.809893168406223%
8,left,rem,3.0,increase,-32.215736974496004%,4.2930304963832615%
8,left,light,2.0,increase,-111.47346109874175%,4.282035412918132%
8,left,deep,14.0,increase,-112.8711036888207%,84.74986082235282%
8,left,light,3.0,decrease,2.988165350433504%,9.491506357305719%
8,left,deep,2.0,decrease,15.167503408047759%,9.214854122086402%
8,left,light,4.0,increase,-8.227110668572438%,11.257257381624923%
8,left,rem,4.0,increase,-5.0760631456614735%,40.905390608756505%
8,left,light,3.0,increase,-8.908600408341785%,7.155567509337246%
8,left,rem,6.0,increase,-25.166663288860974%,18.618710148509663%
8,left,light,3.0,decrease,8.232893962027534%,24.36539381475521%
8,left,rem,3.0,increase,-0.4262169852297949%,7.481478135433682%
8,left,light,6.0,decrease,14.409757161756273%,21.415854205006074%
8,left,light,3.0,increase,-118.3388437666348%,21.00921370083154%
8,left,deep,6.0,decrease,43.238011989864575%,34.662099778994005%
8,left,light,2.0,decrease,7.5546590868196875%,22.435116003652496%
8,left,rem,5.0,decrease,4.747225246804784%,30.57692318840168%
8,left,light,3.0,decrease,24.322450095830042%,33.059777349948305%
8,left,rem,2.0,increase,-17.17741415849226%,20.291450749090714%
8,left,light,15.0,increase,-18.784695527767013%,49.87936904972431%
8,left,light,2.0,decrease,3.9062033340557187%,7.052508578763465%
8,left,light,2.0,increase,-6.616412555126239%,26.77647002287294%
8,left,light,11.0,increase,-10.004381652582097%,42.80843606437804%
8,left,rem,5.0,decrease,8.375144772853949%,13.210963955715796%
8,left,light,10.0,decrease,17.813975236801618%,15.784943026612824%
8,left,light,2.0,decrease,45.34695466095206%,9.881927066271627%
8,left,deep,16.0,increase,-77.27973370012366%,98.87093803435528%
8,left,light,5.0,increase,-8.99991522912541%,10.260537970530182%
8,left,light,3.0,decrease,1.4532634765328882%,4.521739808091304%
8,left,light,10.0,increase,-11.008333013068942%,27.565887075200152%
8,left,rem,6.0,increase,-0.06340289298893784%,20.586799737037893%
8,left,light,8.0,increase,-0.7964263286420892%,14.939550597411543%
8,left,deep,7.0,decrease,26.23812898372529%,93.38093070861481%
8,left,light,5.0,decrease,24.971635405178084%,27.671926552486664%
8,left,deep,5.0,increase,-9.520612372999326%,26.192042397679604%
8,left,light,2.0,decrease,0.2236484546802045%,0.732753141125956%
8,left,rem,5.0,increase,-235.00589598464185%,40.78954885769237%
8,left,light,9.0,decrease,55.192683524536555%,44.649671397543926%
8,left,rem,6.0,increase,-23.73537209520269%,32.673031974950064%
8,left,light,12.0,increase,-3.124384437305548%,22.29976388549149%
8,left,rem,2.0,increase,-2.4064138115497147%,0.1614399043804903%
9,left,light,2.0,increase,-44.40839489797435%,13.062008036128054%
9,left,deep,8.0,increase,-24.637354227391523%,25.615201937851946%
9,left,light,3.0,decrease,54.36407219402143%,28.013218298521853%
9,left,rem,3.0,increase,-102.14442110754194%,47.45679414754832%
9,left,rem,3.0,decrease,18.056480697205014%,1.7634980684272061%
9,left,light,13.0,increase,-0.8994506589135463%,33.15298583394036%
9,left,light,7.0,decrease,40.41278619751512%,1.8652025876705545%
9,left,light,2.0,increase,-0.6730591649498584%,8.851821592285313%
9,left,deep,7.000000000000001,increase,-75.91178652371525%,93.94129917576683%
9,left,rem,12.0,decrease,30.8948640116949%,38.59731027426245%
9,left,light,4.0,decrease,0.39101129611643093%,20.30400179146382%
9,left,light,3.0,decrease,24.346355686734743%,26.753205726196832%
9,left,rem,3.0,decrease,5.8754116242054755%,11.212310657513111%
9,left,light,12.0,decrease,4.467550688389796%,38.985200200271855%
9,left,deep,4.0,increase,-71.71482358994315%,48.41545324882736%
9,left,light,3.0,decrease,0.06391271089932321%,5.561639392628269%
9,left,light,15.0,increase,-5.171245862830492%,38.14313252162371%
9,left,rem,8.0,increase,-72.89276570685797%,46.69410104562276%
9,left,light,9.0,increase,-4.770222756140294%,23.108311712759463%
